strain	stress	trans
0.1509	73.5409	0.2456
0.1514	73.7354	0.2456
0.1519	73.7354	0.2456
0.1525	73.93	0.2447
0.153	73.93	0.2447
0.1535	74.1245	0.2447
0.154	74.3191	0.2447
0.1546	74.3191	0.2437
0.1551	74.5135	0.2437
0.1556	74.7082	0.2437
0.1561	74.7082	0.2437
0.1566	74.9026	0.2428
0.1572	74.9026	0.2428
0.1577	75.0973	0.2428
0.1582	75.2918	0.2419
0.1587	75.2918	0.2419
0.1593	75.4864	0.2419
0.1598	75.6808	0.2419
0.1602	75.6808	0.2409
0.1608	75.8755	0.2409
0.1614	76.07	0.2409
0.1619	76.2646	0.24
0.1623	76.2646	0.24
0.1629	76.4591	0.24
0.1635	76.6537	0.2391
0.164	76.8481	0.2391
0.1645	76.8481	0.2391
0.165	77.0428	0.2391
0.1656	77.2374	0.2381
0.1661	77.2374	0.2381
0.1666	77.4319	0.2381
0.1671	77.6265	0.2372
0.1676	77.821	0.2372
0.1682	77.821	0.2372
0.1687	78.0156	0.2363
0.1692	78.0156	0.2363
0.1697	78.0156	0.2363
0.1703	78.2101	0.2363
0.1708	78.4047	0.2353
0.1713	78.7938	0.2354
0.1718	78.7938	0.2344
0.1724	78.9883	0.2344
0.1729	79.1829	0.2344
0.1734	79.3774	0.2335
0.1739	79.3774	0.2335
0.1745	79.572	0.2335
0.175	79.7665	0.2325
0.1755	79.9611	0.2326
0.176	79.9611	0.2326
0.1766	80.1556	0.2316
0.1771	80.3502	0.2316
0.1776	80.3502	0.2316
0.1781	80.5447	0.2307
0.1787	80.7393	0.2307
0.1792	80.9339	0.2297
0.1797	80.9339	0.2298
0.1802	81.1284	0.2298
0.1807	81.323	0.2288
0.1813	81.323	0.2288
0.1818	81.5175	0.2279
0.1823	81.7121	0.2279
0.1828	81.7121	0.2269
0.1834	81.9066	0.2269
0.1839	82.1012	0.227
0.1844	82.2957	0.226
0.1849	82.2957	0.226
0.1855	82.4903	0.2251
0.186	82.4903	0.2251
0.1865	82.6848	0.2241
0.187	82.8794	0.2241
0.1876	82.8794	0.2242
0.1881	83.0739	0.2232
0.1886	83.2685	0.2232
0.1891	83.2685	0.2223
0.1897	83.463	0.2223
0.1902	83.6576	0.2213
0.1907	83.6576	0.2213
0.1912	83.8521	0.2204
0.1917	84.0467	0.2204
0.1923	84.0467	0.2195
0.1928	84.2412	0.2195
0.1933	84.4358	0.2185
0.1938	84.4358	0.2185
0.1944	84.6303	0.2176
0.1949	84.8249	0.2176
0.1954	84.8249	0.2167
0.1959	85.0195	0.2167
0.1965	85.214	0.2157
0.197	85.214	0.2157
0.1975	85.4086	0.2147
0.198	85.6031	0.2147
0.1985	85.6031	0.2139
0.1991	85.7976	0.2139
0.1996	85.9922	0.2129
0.2001	85.9922	0.212
0.2006	86.1868	0.212
