strain	     stress       trans
0.044138971	14.78673002	0.043498491
0.044658407	15.19133853	0.043422213
0.045177842	15.59594704	0.043345968
0.045697278	16.00055555	0.043269771
0.046216714	16.40516407	0.043193636
0.046736149	16.80977258	0.043117575
0.047255585	17.21438109	0.0430416
0.04777502	17.6189896	0.042965721
0.048294456	18.02359811	0.042889945
0.048813891	18.42820663	0.042814281
0.049333327	18.83281514	0.042738734
0.049852763	19.23742365	0.042663308
0.050372198	19.64203216	0.042588008
0.050891634	20.04664068	0.042512836
0.051411069	20.45124919	0.042437792
0.051930505	20.8558577	0.042362879
0.052449941	21.26046621	0.042288093
0.052969376	21.66507472	0.042213435
0.053488812	22.06968324	0.042138902
0.054008247	22.47429175	0.04206449
0.054527683	22.87890026	0.041990196
0.055047118	23.28350877	0.041916014
0.055566554	23.68811728	0.04184194
0.05608599	24.0927258	0.041767967
0.056605425	24.49733431	0.041694088
0.057124861	24.90194282	0.041620296
0.057644296	25.30655133	0.041546584
0.058163732	25.71115985	0.041472944
0.058683168	26.11576836	0.041399367
0.059202603	26.52037687	0.041325844
0.059722039	26.92498538	0.041252366
0.060241474	27.32959389	0.041178924
0.06076091	27.73420241	0.041105509
0.061280345	28.13881092	0.04103211
0.061799781	28.54341943	0.040958718
0.062319217	28.94802794	0.040885324
0.062838652	29.35263645	0.040811917
0.063358088	29.75724497	0.040738488
0.063877523	30.16185348	0.040665027
0.064396959	30.56646199	0.040591524
0.064916394	30.9710705	0.040517971
0.06543583	31.37567901	0.040444357
0.065955266	31.78028753	0.040370674
0.066474701	32.18489604	0.040296913
0.066994137	32.58950455	0.040223065
0.067513572	32.99411306	0.040149123
0.068033008	33.39872158	0.040075078
0.068552444	33.80333009	0.040000923
0.069071879	34.2079386	0.039926651
0.069591315	34.61254711	0.039852255
0.07011075	35.01715562	0.03977773
0.070630186	35.42176414	0.039703068
0.071149621	35.82637265	0.039628266
0.071669057	36.23098116	0.039553318
0.072188493	36.63558967	0.039478221
0.072707928	37.04019818	0.039402969
0.073227364	37.4448067	0.039327561
0.073746799	37.84941521	0.039251994
0.074266235	38.25402372	0.039176266
0.07478567	38.65863223	0.039100375
0.075305106	39.06324075	0.03902432
0.075824542	39.46784926	0.038948102
0.076343977	39.87245777	0.038871721
0.076863413	40.27706628	0.038795178
0.077382848	40.68167479	0.038718475
0.077902284	41.08628331	0.038641613
0.07842172	41.49089182	0.038564597
0.078941155	41.89550033	0.038487428
0.079460591	42.30010884	0.038410113
0.079980026	42.70471735	0.038332654
0.080499462	43.10932587	0.038255059
0.081018897	43.51393438	0.038177332
0.081538333	43.91854289	0.038099481
0.082057769	44.3231514	0.038021512
0.082577204	44.72775991	0.037943434
0.08309664	45.13236843	0.037865255
0.083616075	45.53697694	0.037786984
0.084135511	45.94158545	0.03770863
0.084654946	46.34619396	0.037630204
0.085174382	46.75080248	0.037551715
0.085693818	47.16756142	0.037473177
0.086213253	47.5563173	0.037394599
0.086732689	47.94148622	0.037315994
0.087252124	48.3227416	0.037237375
0.08777156	48.6997714	0.037158755
0.088290996	49.07227839	0.037080146
0.088810431	49.43998043	0.037001565
0.089329867	49.80261061	0.036923023
