Density, E_angle, E_bond, E_dihed, E_impro, E_vdwl, KinEng, Lx, Ly, Lz, PotEng, Press, Step, Temp, TotEng, Volume, f_avd, f_sxx_ave, f_syy_ave, f_szz_ave, v_Time, v_sxx, v_syy, v_szz
1.1544442, 43927.38, 9027.7682, -4432.5168, 294.02746, -3315.4226, 18983.71, 59.639907, 58.750234, 59.337188, 44262.052, -308.34886, 82000, 302.41898, 63245.763, 207909.11, 1.1502773, -7.5302078, 2.1504574, 7.1182891, 41, 45.695873, 32.886385, 15.148088
1.1488758, 44220.371, 9136.7382, -4570.9817, 265.92241, -3339.8788, 18837.681, 60.288712, 58.636582, 59.097448, 44480.263, -516.17731, 84000, 300.09267, 63317.944, 208916.81, 1.1509287, -2.3991756, -3.2161655, -3.715647, 42, 31.560106, 37.467487, 87.877406
1.1440816, 44197.36, 9057.0775, -4621.8866, 296.07676, -3285.7132, 18933.84, 60.312656, 58.724498, 59.232723, 44440.655, -1083.986, 86000, 301.62452, 63374.495, 209792.26, 1.1480215, 1.7837058, 0.55536957, -1.9138706, 43, 11.096315, 206.78214, 111.62619
1.1525413, 44162.58, 8928.1869, -4574.5066, 284.4191, -3309.32, 18550.289, 60.371229, 58.539895, 58.926139, 44270.479, 719.7508, 88000, 295.51438, 62820.768, 208252.37, 1.1496116, -1.7111201, 5.6853568, 5.165692, 44, -43.694993, -66.452814, -108.63844
1.1579365, 44260.138, 8972.2846, -4571.46, 280.53829, -3397.7719, 18772.97, 60.422773, 58.420563, 58.721256, 44297.982, 177.41155, 90000, 299.0618, 63070.952, 207282.06, 1.1538093, 5.0734187, -2.6484334, 3.1101602, 45, -30.49432, 44.653087, -68.087443
1.1549877, 44029.4, 9105.3356, -4619.5699, 277.90504, -3309.1957, 18980.508, 60.304169, 58.774235, 58.632006, 44231.056, -52.101996, 92000, 302.36797, 63211.564, 207811.26, 1.1570442, -2.7711317, -5.058767, -3.1034803, 46, 59.284404, -34.140308, -9.3063916
1.1553417, 44044.856, 9062.336, -4583.7819, 303.99632, -3344.1675, 18742.575, 60.267435, 58.555101, 58.869257, 44261.731, -2.2494431, 94000, 298.5776, 63004.307, 207747.59, 1.1549118, -4.4849442, 3.4394419, -2.4332349, 47, 22.849251, 7.5801592, -29.745636
1.1555928, 44137.992, 9097.1411, -4427.8615, 282.56377, -3433.4619, 18945.842, 60.864178, 58.353684, 58.480568, 44423.455, 74.609294, 96000, 301.81573, 63369.297, 207702.45, 1.1553281, 1.5917997, -8.1287741, 6.4536273, 48, -71.374307, -22.667865, 71.362811
1.1543458, 44177.292, 8906.5318, -4445.403, 271.08453, -3288.7782, 18723.499, 60.675533, 58.605189, 58.47374, 44355.416, -151.93681, 98000, 298.2737, 63078.915, 207926.84, 1.1552293, 5.4993635, -4.5240469, -6.4333967, 49, -108.60198, 62.565911, 92.221057
1.1557984, 43995.327, 8992.7493, -4339.0327, 280.86233, -3424.7993, 18914.445, 60.603535, 58.582034, 58.492739, 44288.327, -88.078222, 100000, 301.31556, 63202.773, 207665.5, 1.1536454, 0.91457472, 5.0116219, 5.9252391, 50, -15.536968, 14.969354, 27.341192
1.1594172, 44050.335, 8910.6898, -4536.4111, 292.15113, -3362.3409, 18736.094, 60.567977, 58.73093, 58.196488, 44129.305, 1267.545, 102000, 298.47435, 62865.399, 207017.34, 1.1548706, 3.1894143, 1.0555706, -3.9441453, 51, -113.58653, -94.595084, -177.12039
1.1509172, 44116.316, 8904.2644, -4447.9873, 276.58038, -3397.9694, 18835.832, 60.689902, 58.945905, 58.295131, 44224.416, -36.854359, 104000, 300.06322, 63060.248, 208546.24, 1.1560225, -1.56712, 5.5290759, -3.0020075, 52, 22.393224, -73.001981, 61.811561
1.1566156, 44012.977, 9050.7357, -4446.0145, 277.97815, -3339.5962, 18949.89, 60.702068, 58.508325, 58.430049, 44323.647, 644.2908, 106000, 301.88022, 63273.537, 207518.78, 1.1555559, -4.2430173, -3.9558077, -1.9254787, 53, 17.560956, -156.15278, -57.256475
1.1533604, 44083.426, 9133.4743, -4581.7154, 268.92375, -3351.3602, 18863.746, 61.039277, 58.316748, 58.462683, 44328.992, 1045.738, 108000, 300.5079, 63192.737, 208104.48, 1.1565029, -1.7013338, -3.4566575, 4.8951611, 54, -117.30512, -159.54529, -41.027786
1.1564596, 44079.129, 9049.5994, -4456.8148, 276.41023, -3434.7244, 18753.056, 61.080054, 58.443384, 58.140828, 44291.064, -170.43954, 110000, 298.74456, 63044.12, 207546.77, 1.1552451, 4.6031284, -1.5355608, -4.8274099, 55, 10.677316, 90.335609, -49.203567
1.1550055, 44083.462, 9092.5098, -4635.1721, 296.32789, -3353.2979, 18944.857, 60.771881, 58.686303, 58.267043, 44292.993, 194.57595, 112000, 301.80003, 63237.849, 207808.07, 1.1561541, -0.21205195, 7.7942922, -0.16870175, 56, -32.47361, -57.600262, 30.927647
1.1499264, 44214.323, 9134.0672, -4543.3087, 283.26806, -3320.4732, 18810.966, 60.747044, 58.426568, 58.808607, 44545.103, 663.60598, 114000, 299.6671, 63356.07, 208725.94, 1.1556204, -2.8472709, -4.3944286, 0.44313438, 57, -65.27192, -156.62527, 20.177563
